game_id,Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,home_team_id,away_team_id,home_score_final,away_score_final,status,start_timestamp
2026-07-10-SEA-ORE,slofink,-10.99,23.86,gleahy,7.97,26.18,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,1,True,True,1,away,1,1783735498,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",2,3,f6d8952a5f4949830885c5f9db0d646f35473cb6d2e9df546805a058e574ec24,1783735498,False,1,720.0,19.1014135602578,18.96,2.32,-83.0238035229552,d179837fd3fb72972ad54b49db62632ea76a2f3965723956076da3e6d0780e6d,0.975401706610987,0.0245982933890125,0.700963192123226,0.701462737554311,0.708845037414626,0.930340935554079,2880.0,0,0.518,0.00738229986031536,0.0246869270466445,3,59103038361b347fd0bd13412f2f817bb91bae6d,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,gleahy,7.97,26.18,gmartin1,19.09,44.86,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,2,True,True,2,away,2,1783735502,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",3,4,f9787805b39d5b17ba66490581b5510142facba14f16095ff330e994044c5603,1783735502,False,2,714.0,21.7392916167938,11.12,18.68,-30.7648764300184,9bffad19e8fc95dd2959c96e0a63047f663ec61b4b20f27d069f87c4402b52ab,0.963493654748543,0.0365063452514567,0.700963192123226,0.700963192123226,0.735559228223686,0.854453869453079,2874.0,0,0.512,0.0345960361004599,0.115691564346541,4,db3da15f60eb6bbfbe8c365a94550d1959677e53,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,gmartin1,19.09,44.86,gleahy,-1.03,41.86,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,3,True,True,3,away,3,1783735507,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",4,5,50006443500a249d06c6b312f919831c07e81398c4ff035be5815c932fd67912,1783735507,False,3,708.0,20.342428566914,-20.12,-3.0,98.4806283339152,1bba4d2850aa0e61b4532725c1285b1730822f9a906aff2e2b026694621027e8,0.968047283904006,0.0319527160959945,0.700963192123226,0.728750228778552,0.740333471582573,0.873287181494174,2868.0,0,0.51,0.0115832428040201,0.0387351740618945,5,1c8a35f81b9aa4ff95ae51c4252892e86e71d5a4,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,gleahy,-1.03,41.86,eshipway,12.68,49.7,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,4,True,True,4,away,4,1783735510,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",5,6,1b760df0b3faadaff59f26365dce283d2bc729d842815f4d8dae2abad8a41079,1783735510,False,4,702.0,15.7933435345401,13.71,7.84,-60.2371195582755,e0eedbec5e2a3b263fe053958b78e50b47579620a9b682f00672b3001ab8374c,0.974714147786869,0.0252858522131314,0.700963192123226,0.734197810467463,0.756197376285436,0.836479400666444,2862.0,0,0.506,0.0219995658179722,0.0735680867321115,6,cf6c097f67068f29fbc2ab33de986dabc3e6cdbe,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,eshipway,12.68,49.7,gleahy,-3.42,48.34,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,5,True,True,5,away,5,1783735513,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",6,7,1ba9fb088c7db6e795f4371ca598362001bdea5d64f3a3ebc5715e41d5635d5a,1783735513,False,5,696.0,16.1573388898048,-16.1,-1.36,94.8284292427438,f850bbc89ffa8fab04bd24290119565c66a2df0ff2db2586d365765f4ebd0442,0.976231105374848,0.0237688946251522,0.700963192123226,0.750857338490595,0.75071114390966,0.840947452946826,2856.0,0,0.506,-0.000146194580935233,-0.000488884903411209,7,4ceb74f9b9b614cc4c664085944a5c695f49d5f4,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,gleahy,-3.42,48.34,bkassmull,0.68,43.29,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,6,True,True,6,away,6,1783735517,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",7,8,b71cf965611768a9ba82660b164b54d9dc2a33e84f07fd8ce46d0bb209795fbf,1783735517,False,6,690.0,6.50480591562885,4.1,-5.05,-140.92750419239,0899cfbeba8d69212647442ba7fbaa26e10a6e6b65d1e358b4399418384800d8,0.991547535612539,0.00845246438746128,0.700963192123226,0.745822489364821,0.728249356096497,0.857781774141278,2850.0,0,0.511,-0.0175731332683235,-0.0587657867039734,8,f01aaab387d9d6e30a427d56fe4fd7bdc242a011,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,bkassmull,0.68,43.29,gmartin1,4.5,94.56,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,0,1,1,720,1,7,True,True,7,away,7,1783735527,18,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",8,10,a43769605e02e839add170277e04d945e84271785070c773d73a4132f64880e5,1783735527,False,7,684.0,51.4121123860905,3.82,51.27,-4.26109249619779,89aaacc9d2723a0bfa72890cf9e0db5daba8f1a27eb1002bec60bedcef438f09,0.682331753438406,0.317668246561594,0.700963192123226,0.723618224094655,0.920233897172402,0.668836515296458,2844.0,0,0.457,0.196615673077747,0.657496561957576,10,99450f586688d0a08990803355a30fcf2864747c,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,gmartin1,4.5,94.56,eshipway,5.38,105.4,0,0,0,"slofink,bkassmull,gmartin1,mobrien2,nstoppel,gleahy,eshipway",False,2026-07-10-SEA-ORE,0,1,1,1,720,1,8,True,True,8,away,8,1783735546,19,False,"jartz,wdillende,zscheuerm,ndahms,abanerji,rwolfe",9,12,3d0d996a32edee59dc0796a0e5299111fbaad4abc9cfba9d2c2cebe6cd8faa73,1783735546,False,8,678.0,10.875660899458,0.88,10.84,-4.64114021074546,404f6587b1b92c8c93d40677ccd9e6fa7ddb7d743c0729c7e686b66638dc9c9e,0.964507867812185,0.035492132187815,0.700963192123226,0.918699286660431,1.0,0.650200397792195,2838.0,0,0.446,0.0813007133395695,0.27187527153203,12,93d6388d1ad4c13ea33a572a4e8fbabacc947fc5,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,bthoennes,3.68,8.79,agordon,-5.8,25.5,0,0,0,"bthoennes,dbarram,agordon,nknutson,akelly,zscheuerm,qbuermeye",True,2026-07-10-SEA-ORE,0,1,1,2,672,1,1,True,True,9,home,4,1783735599,18,False,"nmahan,jbrown,gharris,rmcleod,gnobis,jgolden,isweeney",5,16,6b74cd3dd468cd632c99cec15736d2da8707f09611292a1950501b0d9c1d75a1,1783735599,False,9,672.0,19.2118322915853,-9.48,16.71,29.5673237649703,bd57479f84b47b1e1eac0854fa774365472b83b1c080a5755c6698496dd62232,0.97134568194673,0.0286543180532701,0.621184848494413,0.621184848494413,0.660059803791487,0.917034039630743,2832.0,-1,0.448,0.0388749552970749,0.102622493167361,16,0c71648b28bbe0987be6e893ce6d241ab139a790,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
2026-07-10-SEA-ORE,agordon,-5.8,25.5,dbarram,3.81,32.31,0,0,0,"bthoennes,dbarram,agordon,nknutson,akelly,zscheuerm,qbuermeye",True,2026-07-10-SEA-ORE,0,1,1,2,672,1,2,True,True,10,home,5,1783735602,18,False,"nmahan,jbrown,gharris,rmcleod,gnobis,jgolden,isweeney",6,17,a0c737eca55772b07be9f85e749678749d7b47d5c87acb3e1b141e1a1c40fda9,1783735602,False,10,666.25,11.7782935945747,9.61,6.81,-54.6772086483223,5b411b70bd4a5e404d6dbf11118f2240ed66c59eb3085b23aaddefe3fcc574d6,0.985075452329987,0.0149245476700127,0.621184848494413,0.656603010769899,0.676417533583447,0.891782458889627,2826.25,-1,0.45,0.0198145228135475,0.0523065741557468,17,a431a4de2a7b8508acb5dd726a907c2e79d73cff,2026-07-21 08:07:47,2026-07-11 02:10:17,steel,cascades,18,23,Final,2026-07-10 19:00:00
